nation,wave,Trad Rat values,Surv Self values
Estonia,3,1.27,-1.3
Estonia,4,1.27,-1.19
Ethiopia,5,-0.65,-0.36
Finland,1,0.63,0.82
Finland,2,1.21,1.26
Finland,3,0.68,1.01
Finland,4,0.84,0.94
Finland,5,0.82,1.12
France,1,0.54,0.13
France,2,0.38,0.71
France,4,0.52,0.94
France,5,0.63,1.13
Galicia,3,-0.04,1.34
Georgia,3,-0.04,-1.31
Ghana,3,-1.66,-0.05
Ghana,5,-1.94,-0.29
Greece,4,0.77,0.55
Guatemala,4,-1.7,-0.17
Hong Kong,5,1.2,-0.98
Hungary,1,0.17,-1.07
Hungary,2,0.46,-1.06
Hungary,3,0.79,-0.77
Hungary,4,0.4,-1.22
Iceland,1,0.01,0.83
Iceland,2,0.27,1.12
Iceland,4,0.44,1.63
India,2,-0.49,-0.91
India,3,-0.54,-0.69
India,4,-0.52,-0.6
India,5,-0.36,-0.21
Indonesia,4,-1.07,-0.5
Indonesia,5,-0.47,-0.8
Iran,3,-1.4,-0.34
Iran,4,-1.22,-0.45
Iraq,5,-0.4,-1.68
Ireland,1,-0.92,0.59
Ireland,2,-1.1,1
Ireland,4,-0.91,1.18
Israel,4,0.26,0.36
Italy,1,0.18,-0.6
Italy,2,0.11,0.53
Italy,4,0.19,0.85
Italy,5,0.13,0.6
Japan,1,1.41,-0.41
Japan,2,1.62,-0.12
Japan,3,1.79,0.37
Japan,4,1.91,0.54
Japan,5,1.96,-0.05
Jordan,3,-1.46,-0.97
Jordan,4,-1.61,-1.05
Kyrgyz,4,-0.15,-0.91
Latvia,2,1.21,-0.6
Latvia,3,1.33,-0.89
Latvia,4,0.72,-1.27
Lithuania,2,0.68,-0.64
Lithuania,3,0.96,-1.45
Lithuania,4,0.98,-1
Luxemburg,4,0.42,1.13
Macedonia,3,0.31,-1.02
Macedonia,4,0.12,-0.72
Malaysia,5,-0.73,0.09
Mali,5,-1.25,-0.08
Malta,4,-1.53,-0.03
Mexico,1,-1.15,-0.26
Mexico,2,-0.3,0.09
Mexico,3,-0.81,0.3
Mexico,4,-1.47,0.53
Mexico,5,-1.47,1.03
Moldova,3,0.36,-1.91
Moldova,4,0.46,-1.69
Moldova,5,0.47,-1.28
Montenegro,3,0.58,-1.12
Montenegro,4,0.86,-1.24
Morocco,4,-1.64,-1.09
Morocco,5,-1.32,-1.04
Moscow,2,1.44,-0.79
N Ireland,1,-0.78,-0.06
N Ireland,4,-0.33,0.84
N Ireland,2,-0.86,0.8
Neth’lands,1,0.73,0.9
Neth’lands,2,0.77,1.99
Neth’lands,4,0.84,1.94
Neth’lands,5,0.71,1.39
N Zealand,3,0.2,1.78
N Zealand,5,0,1.86
Nigeria,2,-1.62,-0.68
Nigeria,3,-1.58,-0.68
Nigeria,4,-1.53,0.28
Norway,1,0.89,0.53
Norway,2,1.17,0.79
Norway,3,1.31,1.33
Norway,5,1.39,2.17
Pakistan,3,-1.39,-0.52
Pakistan,4,-1.42,-1.25
Peru,3,-1.26,-0.18
Peru,4,-1.36,0.03
Philipines,3,-1.38,-0.12
Phillipines,4,-1.21,-0.11
Poland,2,-0.81,-0.27
Poland,3,-0.47,-0.41
Poland,4,-0.43,-0.6
Poland,5,-0.78,-0.14
Portugal,2,-0.21,-0.43
Portugal,4,-0.9,0.49
Puerto Rico,3,-2.01,0.81
Puerto Rico,4,-2.07,1.12
Romania,2,0.24,-1.18
Romania,3,0.36,-1.26
Romania,4,-0.28,-1.6
Romania,5,-0.39,-1.55
Russia,2,1.09,-1.34
Russia,3,0.87,-1.85
Russia,4,1.09,-1.88
Russia,5,0.49,-1.42
Rwanda,5,-1.57,-0.62
S Africa,1,-0.53,-0.4
S Africa,2,-0.92,-0.46
S Africa,3,-1.26,-0.46
S Africa,5,-1.09,-0.1
S Korea,1,1.08,-0.74
S Korea,2,1.11,-0.65
S Korea,3,0.96,-0.64
S Korea,5,0.61,-1.37
S.Africa,4,-1.12,-0.1
S.Korea,4,1.13,-0.55
Saudi Arab.,4,-1.31,0.15
Serbia,3,0.84,-1.05
Serbia,4,0.65,-1.03
Serbia,5,0.35,-0.62
Singapore,,-0.54,-0.28
Slovakia,2,0.75,-0.82
Slovakia,3,0.41,-0.27
Slovakia,4,0.67,-0.43
Slovenia,2,0.64,-0.62
Slovenia,3,0.69,-0.04
Slovenia,4,0.95,0.38
Slovenia,5,0.73,0.36
Spain,1,-0.26,-0.52
Spain,2,-0.06,0.2
Spain,3,-0.37,0.47
Spain,4,0.12,0.51
Spain,5,0.09,0.54
Sweden,1,1.2,0.85
Sweden,2,1.17,1.54
Sweden,3,1.49,1.99
Sweden,4,1.67,2.09
Sweden,5,1.86,2.35
Switzerland,2,0.19,1.11
Switzerland,3,0.82,1.35
Switzerland,5,0.74,1.9
Taiwan,3,0.66,-0.81
Taiwan,5,1.16,-1.18
Tanzania,4,-1.84,-0.15
Thailand,5,-0.64,0.01
Trinidad,5,-1.83,-0.26
Turkey,2,-0.89,-0.17
Turkey,3,-1.13,0.28
Turkey,4,-0.86,-0.34
Turkey,5,-0.89,-0.33
Uganda,1,-1.42,-0.5
Ukraine,3,0.84,-1.83
Ukraine,4,0.9,-1.72
Ukraine,5,0.3,-0.83
Uruguay,3,-0.21,0.48
Uruguay,5,-0.37,0.99
USA,1,-0.83,0.68
USA,2,-0.68,1.35
USA,3,-0.89,1.62
USA,4,-0.52,1.59
USA,5,-0.81,1.76
Venezuela,3,-1.82,0.35
Venezuela,4,-1.6,0.43
Vietnam,4,-0.68,0.22
Vietnam,5,-0.3,-0.26
W Germany,1,0.83,-0.07
W Germany,2,1.23,0.69
W Germany,3,1.55,1.52
W Germany,5,1.31,0.74
W Germany,4,1.17,0.44
Zambia,5,-0.77,-0.62
Zimbabwe,4,-1.5,-1.36
